|name|number|height|weight|school|
|Andrew Aylward|25|5-10|157|Ohio State/Santa Maria|
|Michael Bjelovuk|7|6-1|175|Cincinnati|
|Josh Botti|14|5-10|170|Ohio State/Madcow|
|Nate Botti|17|6-0|168|Madcow|
|Daniel Butler|3|6-0|155|Oberlin College|
|Phil Cherosky|47|5-10|160|Ohio State/Madcow|
|Michael Ford|11|5-11|169|Ohio University|
|Michael Groeber|10|6-0|185|Ohio State/Madcow|
|Brad Jones|20|6-5|195|ICE|
|Kieran Kelly|1|6-1|165|Cincinnati/Madador|
|Jeff Kula|5|5-8|150|Ohio State/Madcow|
|Kevin Kula|24|5-10| 165|Ohio State/Madcow|
|Timmy Meyers|13|6-2|178|Edinboro/Madcow|
|Matt Pasternack|33|5-10|185|Ohio State|
|Dakota Regan|43|6-0|180|WNHS/Madador|
|Kevin Reichert|23|6-0|170|Ohio State/Madcow|
|Jordan Rhyne|22|6-1|170|Kenyon/Madcow|
|Cole Robinette|31|5-11|155|Ohio State/Santa Maria|
|Kevin Willis Ryan|99|6-1|170|Ohio State/Madcow|
|Ben Sage|88|6-5|195|Ohio State/Hustle|
|Joe Taris|2|6-2|178|Ohio State/Madcow|
|Andy Theiss|19|5-11|170|Ohio State/Madcow|
|David Valentine-Elam|6|6-4|200|Ohio State/Madcow|